%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82997.399,300.009,348.824,114.909,0.016,0.004,5.000
83001.431,300.011,348.587,114.589,-0.001,0.004,5.000
83009.494,300.011,348.824,114.909,-0.001,0.004,5.000
83009.494,300.008,348.745,115.069,-0.001,-0.007,5.000
83001.431,300.009,348.666,115.069,0.016,-0.007,5.000
83005.462,300.006,348.903,115.069,0.016,0.004,5.000
83009.494,300.008,348.745,115.390,-0.001,0.004,5.000
83005.462,300.012,348.666,115.390,-0.017,0.004,5.000
83001.431,300.009,348.745,115.390,-0.001,0.004,5.000
83005.462,300.011,348.745,115.550,-0.033,-0.007,5.000
83009.494,300.006,348.745,115.390,0.016,0.015,5.000
83009.494,300.006,348.824,115.390,-0.001,0.004,5.000
83001.431,300.006,348.745,115.710,-0.017,-0.007,5.000
83005.462,300.006,348.903,115.710,-0.017,0.015,5.000
83005.462,300.011,348.824,115.390,-0.001,0.015,5.000
83005.462,300.009,348.824,115.710,-0.017,0.004,5.000
83017.556,300.009,348.982,115.550,-0.001,0.015,5.000
83009.494,300.008,348.903,115.870,-0.001,0.004,5.000
83009.494,300.011,349.061,115.550,-0.033,0.004,5.000
83009.494,300.011,349.061,115.710,-0.001,0.004,5.000
83009.494,300.009,349.061,115.550,-0.001,-0.017,5.000
83009.494,300.008,348.824,115.229,-0.001,-0.007,5.000
83005.462,300.011,349.061,115.069,0.032,0.004,5.000
83005.462,300.012,348.903,115.390,0.016,-0.007,5.000
83005.462,300.009,348.982,115.229,-0.017,0.015,5.000
82997.399,300.008,348.903,115.069,-0.017,-0.007,5.000
83005.462,300.012,348.982,114.909,-0.001,0.004,5.000
83005.462,300.012,348.982,115.069,-0.001,-0.017,5.000
83005.462,300.012,348.903,114.909,0.016,0.026,5.000
83005.462,300.012,349.061,114.909,-0.001,0.004,5.000
83009.494,300.012,348.903,114.749,-0.001,-0.007,5.000
83005.462,300.011,348.903,114.909,-0.033,0.004,5.000
83013.525,300.009,348.982,114.429,-0.001,0.026,5.000
83005.462,300.012,348.824,114.589,-0.001,-0.017,5.000
82997.399,300.011,348.982,114.429,-0.017,0.004,5.000
83009.494,300.014,348.982,114.429,-0.001,-0.007,5.000
83005.462,300.012,348.824,114.429,-0.001,-0.007,5.000
83005.462,300.011,348.903,114.269,0.016,0.004,5.000
83001.431,300.012,348.903,114.109,0.016,-0.007,5.000
82997.399,300.014,348.745,114.429,-0.001,-0.007,5.000
83005.462,300.011,348.824,114.269,0.016,-0.007,5.000
82993.368,300.012,348.824,114.109,0.016,-0.007,5.000
83001.431,300.009,348.666,114.109,-0.017,0.004,5.000
83001.431,300.012,348.745,114.109,-0.017,0.015,5.000
82997.399,300.011,348.745,114.109,-0.001,-0.007,5.000
82997.399,300.011,348.745,113.949,0.016,-0.007,5.000
83001.431,300.011,348.824,114.109,-0.001,0.004,5.000
83001.431,300.009,348.824,114.109,-0.001,0.015,5.000
83001.431,300.009,348.745,114.109,-0.001,-0.007,5.000
83005.462,300.012,348.745,113.789,-0.017,0.004,5.000
83005.462,300.009,348.745,113.789,-0.033,-0.007,5.000
83005.462,300.011,348.745,113.789,0.016,-0.017,5.000
83009.494,300.012,348.745,113.629,-0.001,0.004,5.000
83001.431,300.008,348.587,113.629,-0.001,-0.017,5.000
83009.494,300.011,348.666,113.789,-0.001,-0.007,5.000
83009.494,300.008,348.666,113.629,0.016,0.004,5.000
83009.494,300.008,348.745,113.308,-0.017,0.004,5.000
83009.494,300.009,348.745,113.308,-0.001,0.004,5.000
83005.462,300.009,348.666,113.468,-0.001,0.004,5.000
83009.494,300.011,348.745,113.308,0.016,-0.007,5.000
83013.525,300.009,348.824,113.148,-0.001,-0.007,5.000
83017.556,300.011,348.903,112.828,-0.001,-0.007,5.000
83009.494,300.011,348.824,112.828,-0.017,0.015,5.000
83009.494,300.011,348.745,112.828,-0.001,-0.007,5.000
83013.525,300.011,348.824,112.508,0.016,0.015,5.000
83009.494,300.009,348.903,112.508,0.016,0.004,5.000
83013.525,300.011,348.903,112.028,-0.001,0.004,5.000
83021.588,300.012,348.824,112.348,-0.017,0.004,5.000
83021.588,300.011,348.903,112.188,-0.001,-0.007,5.000
83009.494,300.011,349.061,112.028,-0.001,-0.007,5.000
83013.525,300.011,349.061,111.868,-0.017,-0.017,5.000
83013.525,300.012,348.982,111.707,-0.001,0.026,5.000
83017.556,300.011,348.903,111.387,-0.017,0.015,5.000
83009.494,300.012,349.140,111.067,-0.017,0.004,5.000
83013.525,300.011,349.140,111.227,-0.001,-0.007,5.000
83013.525,300.014,349.061,110.907,-0.001,-0.007,5.000
83013.525,300.014,349.061,110.747,0.016,-0.007,5.000
83009.494,300.011,348.982,110.587,-0.017,-0.017,5.000
83009.494,300.014,349.061,110.747,-0.017,0.004,5.000
83009.494,300.014,349.061,110.427,-0.001,-0.007,5.000
83013.525,300.014,349.061,110.427,-0.017,0.004,5.000
83013.525,300.014,349.061,110.107,-0.017,0.004,5.000
