%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82997.399,300.022,352.776,200.719,-0.001,2.022,5.000
83005.462,300.020,352.538,200.239,-0.033,2.011,5.000
82997.399,300.022,352.697,200.239,-0.001,1.990,5.000
83005.462,300.020,352.618,199.919,-0.001,2.033,5.000
83001.431,300.019,352.697,199.919,-0.001,2.001,5.000
83001.431,300.020,352.618,199.438,-0.017,2.022,5.000
82993.368,300.022,352.618,199.438,-0.001,2.011,5.000
82997.399,300.022,352.697,199.438,-0.017,2.011,5.000
82989.337,300.019,352.697,199.278,-0.001,1.990,5.000
82989.337,300.017,352.776,198.958,-0.001,2.001,5.000
82989.337,300.019,352.776,199.278,-0.033,2.001,5.000
82993.368,300.019,352.776,198.958,-0.001,2.011,5.000
82985.305,300.019,352.855,198.798,-0.001,2.001,5.000
82981.274,300.019,352.934,198.638,0.016,2.001,5.000
82989.337,300.020,352.934,198.798,-0.033,2.001,5.000
82989.337,300.017,352.855,198.798,-0.033,2.022,5.000
82993.368,300.020,352.934,198.638,-0.001,2.001,5.000
82985.305,300.020,352.934,198.798,-0.033,1.990,5.000
82985.305,300.019,352.855,198.798,0.016,2.001,5.000
82989.337,300.024,352.934,198.798,-0.001,2.011,5.000
82993.368,300.020,352.934,198.798,-0.017,2.011,5.000
82989.337,300.022,352.855,199.278,0.032,2.011,5.000
82997.399,300.022,353.013,199.438,-0.017,2.011,5.000
82997.399,300.019,353.013,199.599,-0.033,1.990,5.000
82993.368,300.022,353.171,199.919,-0.033,2.033,5.000
82993.368,300.022,353.092,199.919,0.016,2.001,5.000
83001.431,300.024,353.171,200.079,-0.001,2.011,5.000
82993.368,300.020,353.171,200.399,-0.033,2.001,5.000
83001.431,300.020,353.092,200.719,-0.017,2.011,5.000
83005.462,300.022,353.250,200.879,0.016,2.001,5.000
82997.399,300.020,353.329,201.199,0.016,2.001,5.000
83005.462,300.022,353.250,201.520,-0.001,2.022,5.000
83005.462,300.022,353.329,201.840,0.016,2.022,5.000
82997.399,300.022,353.329,202.000,0.016,2.022,5.000
82997.399,300.025,353.408,202.000,-0.017,2.001,5.000
83009.494,300.022,353.408,202.480,-0.001,2.011,5.000
83009.494,300.022,353.408,202.640,-0.001,2.022,5.000
83005.462,300.022,353.487,202.800,-0.033,2.022,5.000
83001.431,300.024,353.645,202.800,-0.001,2.022,5.000
83009.494,300.022,353.566,203.281,-0.017,2.011,5.000
83009.494,300.020,353.645,203.441,-0.033,2.022,5.000
83009.494,300.020,353.724,203.601,-0.001,2.001,5.000
83009.494,300.019,353.645,204.081,0.016,2.022,5.000
83009.494,300.020,353.724,203.761,-0.001,2.001,5.000
83001.431,300.020,353.487,204.081,0.032,2.011,5.000
83005.462,300.020,353.724,204.081,0.016,2.001,5.000
82997.399,300.019,353.645,204.081,-0.001,2.001,5.000
83009.494,300.019,353.566,204.241,-0.017,2.011,5.000
83005.462,300.017,353.645,204.241,0.016,1.990,5.000
83005.462,300.019,353.645,204.561,-0.033,2.001,5.000
83005.462,300.017,353.645,204.401,-0.017,2.011,5.000
83005.462,300.020,353.566,204.722,-0.017,2.001,5.000
83005.462,300.017,353.566,204.722,-0.001,2.022,5.000
83005.462,300.020,353.566,204.722,-0.001,2.011,5.000
83001.431,300.019,353.487,204.722,-0.017,2.011,5.000
83001.431,300.019,353.487,204.401,-0.017,2.001,5.000
83001.431,300.020,353.487,204.722,-0.017,2.022,5.000
83005.462,300.019,353.408,204.722,-0.017,1.990,5.000
83005.462,300.020,353.487,204.722,-0.001,2.001,5.000
83001.431,300.019,353.329,204.561,0.032,2.001,5.000
83001.431,300.017,353.487,204.401,-0.001,2.001,5.000
83005.462,300.019,353.487,204.241,-0.001,2.001,5.000
83001.431,300.016,352.301,225.213,-0.001,3.010,5.000
83001.431,300.017,352.222,225.213,0.016,3.010,5.000
82997.399,300.019,352.222,225.854,-0.017,3.010,5.000
82997.399,300.019,352.459,225.694,0.016,2.999,5.000
82997.399,300.017,352.301,226.014,0.032,2.988,5.000
83005.462,300.020,352.301,225.854,-0.001,2.988,5.000
83001.431,300.019,352.380,226.334,0.048,2.999,5.000
82993.368,300.017,352.380,226.494,-0.017,2.999,5.000
83001.431,300.019,352.380,226.334,-0.017,2.988,5.000
82993.368,300.019,352.301,226.174,-0.033,2.999,5.000
83001.431,300.017,352.380,225.854,-0.001,3.010,5.000
82997.399,300.019,352.301,226.174,-0.017,2.999,5.000
83001.431,300.019,352.301,226.494,-0.017,2.988,5.000
83001.431,300.020,352.459,226.334,0.016,2.999,5.000
83001.431,300.017,352.301,226.174,-0.001,2.988,5.000
83005.462,300.020,352.301,226.174,0.048,2.978,5.000
83005.462,300.019,352.301,226.014,0.016,2.999,5.000
83005.462,300.019,352.301,225.534,-0.001,2.988,5.000
82997.399,300.020,352.301,225.534,-0.001,2.988,5.000
82993.368,300.019,352.222,225.374,0.016,2.999,5.000
82997.399,300.020,352.222,225.534,-0.001,2.988,5.000
83005.462,300.020,352.222,225.213,-0.017,2.999,5.000
82993.368,300.020,352.143,224.893,0.032,2.978,5.000
83001.431,300.022,352.143,224.893,-0.017,3.010,5.000
83001.431,300.020,352.301,224.573,0.032,3.021,5.000
83001.431,300.020,352.064,224.413,0.016,2.988,5.000
82997.399,300.019,352.143,224.573,-0.001,2.988,5.000
82997.399,300.019,351.985,224.093,-0.001,2.999,5.000
83005.462,300.022,352.064,223.773,-0.017,2.988,5.000
82997.399,300.020,352.143,223.452,-0.001,2.988,5.000
83001.431,300.019,352.064,223.292,-0.001,2.988,5.000
82997.399,300.020,351.985,223.452,-0.001,2.999,5.000
83001.431,300.019,351.985,223.292,-0.017,2.988,5.000
83001.431,300.016,351.985,223.292,-0.001,2.978,5.000
82997.399,300.016,351.827,223.292,-0.017,2.978,5.000
83001.431,300.022,351.906,222.972,0.016,2.988,5.000
82997.399,300.019,351.906,222.972,0.016,2.999,5.000
83005.462,300.019,351.827,223.292,-0.001,3.010,5.000
83009.494,300.019,351.906,223.452,-0.001,2.999,5.000
83005.462,300.016,351.669,223.132,-0.001,3.010,5.000
83005.462,300.016,351.827,223.292,-0.017,2.999,5.000
83005.462,300.019,351.748,223.292,-0.033,2.999,5.000
82997.399,300.016,351.748,223.773,0.016,2.967,5.000
83005.462,300.017,351.748,223.773,-0.001,2.978,5.000
83001.431,300.017,351.669,224.093,0.016,2.978,5.000
83005.462,300.017,351.669,224.413,-0.017,3.010,5.000
82997.399,300.017,351.590,224.413,-0.017,2.999,5.000
83001.431,300.017,351.590,224.733,-0.017,2.988,5.000
82997.399,300.017,351.669,225.213,0.016,2.999,5.000
82997.399,300.016,351.590,225.374,-0.001,3.010,5.000
83001.431,300.017,351.669,225.694,0.016,2.999,5.000
83001.431,300.017,351.590,226.014,-0.001,2.988,5.000
83005.462,300.016,351.590,226.174,-0.001,2.999,5.000
83005.462,300.019,351.511,226.654,-0.001,2.988,5.000
83001.431,300.017,351.432,226.814,-0.001,2.978,5.000
83001.431,300.016,351.511,227.295,-0.001,3.010,5.000
83001.431,300.017,351.353,227.775,-0.017,2.988,5.000
83009.494,300.017,351.432,227.615,-0.033,2.999,5.000
83005.462,300.014,351.432,228.255,-0.001,2.978,5.000
83009.494,300.019,351.432,228.575,0.016,2.978,5.000
83005.462,300.019,351.274,228.735,-0.001,3.010,5.000
83005.462,300.016,351.274,228.896,-0.017,2.999,5.000
83005.462,300.017,351.274,229.216,0.016,2.978,5.000
83005.462,300.017,351.195,229.536,0.016,2.978,5.000
83001.431,300.017,351.195,229.696,0.032,2.988,5.000
83005.462,300.016,351.274,229.536,-0.001,2.988,5.000
83005.462,300.019,351.195,230.016,-0.001,2.978,5.000
83005.462,300.019,351.037,230.176,-0.017,2.978,5.000
83001.431,300.017,351.116,230.176,0.016,2.978,5.000
83001.431,300.019,351.116,230.016,-0.001,2.978,5.000
83001.431,300.020,350.879,229.856,-0.001,3.010,5.000
83009.494,300.019,350.800,230.176,-0.001,2.999,5.000
83001.431,300.019,350.879,230.016,0.016,3.010,5.000
82997.399,300.019,350.800,230.016,-0.017,2.999,5.000
83001.431,300.017,350.721,230.016,0.016,2.988,5.000
83001.431,300.017,350.721,229.856,0.032,2.999,5.000
82997.399,300.022,350.721,229.536,-0.001,2.999,5.000
83001.431,300.020,350.563,229.376,-0.017,2.988,5.000
83009.494,300.019,350.642,229.536,-0.017,2.999,5.000
83005.462,300.019,350.484,229.216,0.016,2.978,5.000
82997.399,300.014,350.484,229.056,0.032,2.999,5.000
82993.368,300.020,350.484,228.896,0.016,2.999,5.000
82993.368,300.017,350.484,228.415,-0.017,3.010,5.000
82997.399,300.019,350.405,228.415,-0.001,2.999,5.000
82989.337,300.022,350.405,228.415,-0.001,2.978,5.000
82993.368,300.019,350.326,228.255,0.016,2.999,5.000
82993.368,300.017,350.405,228.255,-0.017,2.988,5.000
82993.368,300.019,350.326,227.935,0.016,2.988,5.000
82989.337,300.016,350.326,227.775,-0.001,2.999,5.000
82997.399,300.019,350.168,227.775,-0.017,2.978,5.000
82993.368,300.017,350.247,227.455,-0.001,2.978,5.000
82993.368,300.017,350.168,227.615,-0.017,2.988,5.000
83001.431,300.020,350.247,227.295,-0.017,2.988,5.000
82997.399,300.019,350.247,227.455,-0.001,2.988,5.000
82997.399,300.020,350.405,227.455,0.032,2.988,5.000
83001.431,300.020,350.405,227.135,-0.033,2.999,5.000
82993.368,300.017,350.326,227.295,-0.001,2.999,5.000
83001.431,300.017,350.326,227.295,-0.017,2.999,5.000
82997.399,300.020,350.405,227.295,-0.001,2.999,5.000
82993.368,300.017,350.405,227.295,-0.001,2.978,5.000
82997.399,300.017,350.405,227.135,-0.001,2.978,5.000
82997.399,300.017,350.405,227.135,0.016,2.978,5.000
82997.399,300.019,350.405,227.295,-0.001,3.021,5.000
83001.431,300.019,350.405,227.135,0.016,2.999,5.000
82997.399,300.019,350.326,227.295,-0.017,2.999,5.000
83005.462,300.022,350.484,227.135,-0.033,3.010,5.000
83005.462,300.020,350.484,227.295,-0.017,2.988,5.000
83001.431,300.019,350.484,227.135,-0.017,2.999,5.000
82997.399,300.022,350.563,226.974,-0.001,2.988,5.000
83001.431,300.019,350.563,227.135,-0.001,2.988,5.000
83009.494,300.017,350.642,226.974,0.016,2.999,5.000
83001.431,300.019,350.484,226.654,0.016,2.988,5.000
83001.431,300.019,350.563,226.974,0.016,2.999,5.000
83001.431,300.020,350.484,226.654,-0.001,2.978,5.000
83009.494,300.019,350.563,226.654,0.016,3.021,5.000
83005.462,300.016,350.484,226.334,0.016,2.988,5.000
83009.494,300.017,350.642,226.334,-0.001,2.988,5.000
83005.462,300.019,350.484,226.494,-0.001,2.999,5.000
83009.494,300.020,350.484,226.014,-0.017,2.999,5.000
83005.462,300.019,350.642,226.014,0.016,2.999,5.000
83009.494,300.019,350.563,226.014,-0.017,2.999,5.000
83009.494,300.020,350.484,225.854,0.016,2.999,5.000
83001.431,300.022,350.247,225.374,-0.001,2.988,5.000
83005.462,300.019,350.405,225.374,-0.017,2.988,5.000
83001.431,300.017,350.405,225.053,-0.017,2.999,5.000
83005.462,300.019,350.405,225.053,-0.001,2.978,5.000
83005.462,300.019,350.405,224.733,-0.001,2.988,5.000
83001.431,300.019,350.326,225.053,-0.017,2.999,5.000
83001.431,300.019,350.247,224.573,-0.001,2.999,5.000
82993.368,300.017,350.326,224.733,0.032,2.999,5.000
83001.431,300.017,350.326,224.573,-0.001,3.010,5.000
82997.399,300.016,350.247,224.413,-0.001,2.999,5.000
82997.399,300.017,350.168,223.933,0.032,2.999,5.000
82997.399,300.017,350.168,224.253,-0.001,2.988,5.000
82997.399,300.017,350.168,223.933,-0.017,2.988,5.000
82993.368,300.017,350.247,224.093,-0.001,3.010,5.000
82997.399,300.016,350.247,224.253,-0.001,2.999,5.000
82993.368,300.016,350.089,223.773,-0.001,2.988,5.000
82997.399,300.017,350.168,223.933,0.016,2.988,5.000
82989.337,300.016,350.168,223.933,-0.017,2.999,5.000
82993.368,300.014,350.168,223.933,-0.017,2.978,5.000
82989.337,300.016,350.089,223.933,-0.001,2.988,5.000
82989.337,300.017,350.168,223.773,0.016,2.978,5.000
83001.431,300.014,350.089,223.933,-0.017,2.988,5.000
82997.399,300.012,350.089,224.253,0.016,3.010,5.000
82997.399,300.014,350.089,223.773,-0.001,2.999,5.000
82993.368,300.016,350.168,224.253,-0.001,2.999,5.000
82997.399,300.016,350.247,224.253,-0.017,2.988,5.000
82997.399,300.014,350.168,224.413,-0.017,2.978,5.000
83001.431,300.017,350.168,224.253,0.016,3.010,5.000
83005.462,300.016,350.247,224.413,-0.033,2.988,5.000
83001.431,300.017,350.405,224.413,0.016,2.999,5.000
83005.462,300.017,350.326,224.573,-0.050,2.988,5.000
83005.462,300.016,350.326,224.573,-0.001,2.978,5.000
83005.462,300.016,350.326,224.253,-0.001,3.010,5.000
83001.431,300.017,350.247,224.733,-0.033,2.978,5.000
83005.462,300.016,350.326,224.733,-0.001,2.999,5.000
83001.431,300.014,350.247,224.733,-0.033,2.988,5.000
83009.494,300.016,350.168,224.573,-0.017,2.978,5.000
83005.462,300.016,350.405,224.253,-0.001,2.999,5.000
83001.431,300.016,350.168,224.413,-0.017,2.988,5.000
83013.525,300.019,350.405,224.413,0.016,2.988,5.000
83005.462,300.017,350.326,224.093,-0.050,2.999,5.000
83009.494,300.017,350.405,224.093,0.016,2.978,5.000
82997.399,300.017,350.247,223.773,-0.001,2.978,5.000
83005.462,300.016,350.247,223.612,-0.017,2.999,5.000
83001.431,300.017,350.168,223.132,-0.001,2.988,5.000
83001.431,300.020,350.405,222.972,-0.017,2.988,5.000
83009.494,300.020,350.326,222.812,-0.017,2.988,5.000
83005.462,300.016,350.405,222.492,-0.001,2.988,5.000
83001.431,300.017,350.405,222.172,-0.001,2.999,5.000
83005.462,300.016,350.484,222.172,-0.001,2.999,5.000
83001.431,300.022,350.405,221.851,-0.017,2.999,5.000
83005.462,300.022,350.405,221.211,-0.001,2.978,5.000
82997.399,300.017,350.405,220.891,0.016,2.988,5.000
82997.399,300.017,350.405,220.571,-0.001,2.978,5.000
83005.462,300.019,350.484,220.411,-0.001,2.988,5.000
83001.431,300.019,350.563,220.090,-0.001,2.999,5.000
83005.462,300.017,350.405,219.610,-0.001,2.978,5.000
83005.462,300.017,350.484,219.450,-0.001,2.999,5.000
83005.462,300.017,350.484,218.810,0.016,2.999,5.000
82997.399,300.020,350.563,218.650,0.032,3.010,5.000
82997.399,300.017,350.642,218.329,-0.001,2.988,5.000
83001.431,300.014,350.721,218.329,-0.001,2.999,5.000
82997.399,300.017,350.800,218.009,0.016,2.999,5.000
83005.462,300.017,350.642,217.849,-0.017,2.988,5.000
82993.368,300.019,350.800,217.849,-0.017,2.999,5.000
83001.431,300.014,350.958,217.529,-0.017,2.999,5.000
83001.431,300.016,350.958,217.209,-0.001,2.988,5.000
83001.431,300.017,351.037,217.529,-0.033,2.967,5.000
82993.368,300.014,351.037,217.689,-0.001,2.999,5.000
83001.431,300.016,350.879,217.529,0.016,2.999,5.000
83005.462,300.019,350.958,217.369,-0.001,2.999,5.000
83005.462,300.017,351.195,217.529,0.016,2.978,5.000
83001.431,300.019,351.116,217.689,0.016,2.999,5.000
83005.462,300.017,351.195,218.169,-0.001,2.988,5.000
83001.431,300.017,351.195,218.169,-0.017,3.010,5.000
83005.462,300.014,351.353,217.849,-0.001,2.999,5.000
83005.462,300.017,351.353,218.650,0.016,2.978,5.000
83005.462,300.019,351.432,218.650,-0.017,2.999,5.000
83001.431,300.014,351.353,218.810,-0.001,2.999,5.000
83009.494,300.017,351.353,219.130,-0.033,2.999,5.000
83005.462,300.016,351.353,219.930,0.016,2.999,5.000
83005.462,300.016,351.353,219.610,-0.017,2.999,5.000
83005.462,300.016,351.432,219.930,-0.001,2.988,5.000
83001.431,300.016,351.511,220.251,-0.017,2.988,5.000
83005.462,300.017,351.590,220.731,-0.001,2.999,5.000
83009.494,300.017,351.353,220.891,0.016,2.988,5.000
83009.494,300.017,351.590,221.371,-0.017,2.999,5.000
83005.462,300.019,351.511,221.851,0.032,2.978,5.000
83001.431,300.019,351.353,222.012,0.016,2.999,5.000
83001.431,300.017,351.353,222.172,-0.050,2.999,5.000
83009.494,300.019,351.353,222.332,-0.001,3.010,5.000
83005.462,300.017,351.353,222.652,-0.001,2.978,5.000
83005.462,300.019,351.353,222.812,-0.017,2.978,5.000
83001.431,300.017,351.274,222.812,-0.017,2.988,5.000
83001.431,300.019,351.353,223.452,-0.001,3.010,5.000
83001.431,300.017,351.511,223.292,-0.033,2.999,5.000
83001.431,300.020,351.353,223.452,0.016,2.988,5.000
83001.431,300.017,351.274,223.773,-0.017,2.999,5.000
83001.431,300.020,351.274,223.612,-0.001,2.999,5.000
83005.462,300.019,351.195,223.612,-0.001,2.999,5.000
82997.399,300.019,351.274,223.773,-0.033,2.999,5.000
83005.462,300.019,351.195,223.773,-0.017,2.978,5.000
83001.431,300.020,351.274,223.773,-0.001,2.999,5.000
83001.431,300.020,351.116,223.773,-0.017,2.999,5.000
83001.431,300.019,351.116,223.773,-0.001,2.999,5.000
82997.399,300.017,351.195,223.612,-0.001,2.978,5.000
83005.462,300.019,351.195,223.612,-0.001,2.999,5.000
83001.431,300.019,351.037,223.452,-0.017,3.021,5.000
82997.399,300.017,350.958,223.612,-0.001,2.988,5.000
83001.431,300.019,350.958,223.292,0.016,2.978,5.000
83005.462,300.016,351.037,223.132,0.016,2.999,5.000
83001.431,300.019,351.037,223.292,-0.033,3.010,5.000
83001.431,300.017,350.958,222.972,0.016,2.999,5.000
83005.462,300.017,351.037,222.972,0.016,3.010,5.000
82997.399,300.019,350.800,222.812,0.016,2.999,5.000
83001.431,300.017,350.879,222.812,-0.001,2.999,5.000
82997.399,300.016,350.721,222.652,0.016,2.967,5.000
82997.399,300.019,350.958,222.652,0.016,2.978,5.000
83005.462,300.017,350.879,222.492,-0.017,2.978,5.000
83001.431,300.017,350.800,222.652,-0.001,2.978,5.000
83001.431,300.017,350.800,222.332,-0.001,2.999,5.000
83001.431,300.014,350.642,222.172,-0.001,2.988,5.000
83005.462,300.016,350.642,221.851,-0.017,2.988,5.000
83005.462,300.014,350.721,222.012,-0.017,2.988,5.000
82997.399,300.014,350.721,222.012,0.032,2.999,5.000
83005.462,300.017,350.642,221.851,-0.017,2.988,5.000
83005.462,300.016,350.721,221.851,0.016,2.988,5.000
83009.494,300.016,350.642,221.691,-0.017,2.988,5.000
82997.399,300.017,350.642,221.691,-0.033,2.978,5.000
83001.431,300.014,350.800,222.012,-0.001,3.010,5.000
83005.462,300.012,350.642,221.851,0.016,2.988,5.000
83005.462,300.014,350.563,221.691,-0.017,2.988,5.000
83001.431,300.016,350.642,221.691,0.016,2.999,5.000
83001.431,300.016,350.563,221.691,-0.001,2.988,5.000
83001.431,300.017,350.563,222.012,0.032,2.978,5.000
83001.431,300.014,350.563,221.851,0.016,2.999,5.000
82993.368,300.016,350.563,221.851,-0.017,2.999,5.000
82997.399,300.017,350.563,221.851,-0.001,2.978,5.000
83001.431,300.016,350.484,221.531,-0.001,2.988,5.000
83001.431,300.019,350.563,221.851,0.016,2.999,5.000
83005.462,300.017,350.563,221.851,-0.017,2.978,5.000
83005.462,300.016,350.247,221.851,-0.001,2.978,5.000
82997.399,300.016,350.405,221.531,0.016,2.978,5.000
82989.337,300.017,350.247,221.371,0.032,2.988,5.000
82997.399,300.019,350.326,221.531,0.016,2.988,5.000
83001.431,300.016,350.326,221.531,0.016,2.988,5.000
83001.431,300.016,350.326,221.371,-0.001,2.978,5.000
83005.462,300.017,350.405,221.211,-0.001,2.999,5.000
83001.431,300.016,350.326,221.531,-0.001,2.999,5.000
83001.431,300.016,350.326,221.691,-0.001,3.010,5.000
83001.431,300.016,350.405,221.531,-0.001,2.988,5.000
83005.462,300.012,350.326,221.371,-0.017,2.988,5.000
83005.462,300.016,350.247,221.531,0.016,2.999,5.000
82997.399,300.016,350.168,221.211,0.016,2.988,5.000
83001.431,300.012,350.326,221.211,-0.017,3.010,5.000
83001.431,300.014,350.405,221.371,-0.001,2.988,5.000
83001.431,300.016,350.168,221.691,-0.001,2.988,5.000
83001.431,300.014,350.326,221.531,-0.001,2.999,5.000
83005.462,300.014,350.168,221.531,-0.017,2.999,5.000
83009.494,300.011,350.326,221.691,0.016,2.999,5.000
83005.462,300.012,350.326,221.691,0.016,2.999,5.000
83005.462,300.012,350.168,221.691,-0.001,3.010,5.000
83005.462,300.012,350.247,221.691,0.016,2.999,5.000
83001.431,300.012,350.168,222.012,0.016,2.988,5.000
83001.431,300.012,350.326,222.012,-0.017,2.999,5.000
83001.431,300.009,350.326,222.172,-0.001,2.999,5.000
83001.431,300.011,350.326,222.172,-0.017,2.999,5.000
83009.494,300.012,350.326,222.332,0.032,2.999,5.000
83005.462,300.011,350.405,222.172,-0.017,2.999,5.000
83005.462,300.011,350.247,222.492,-0.017,3.010,5.000
83009.494,300.011,350.326,222.652,0.016,3.010,5.000
83009.494,300.009,350.326,222.812,0.016,2.988,5.000
83005.462,300.009,350.247,222.972,-0.017,2.988,5.000
83001.431,300.011,350.168,222.972,-0.033,2.988,5.000
83005.462,300.012,350.247,223.292,-0.001,2.988,5.000
83005.462,300.011,350.247,222.812,0.016,2.978,5.000
83009.494,300.011,350.247,223.132,-0.001,2.988,5.000
83005.462,300.011,350.247,223.132,-0.017,2.999,5.000
83013.525,300.009,350.326,223.452,-0.001,2.978,5.000
83009.494,300.011,350.247,223.452,-0.033,2.999,5.000
83005.462,300.012,350.247,223.773,0.016,3.010,5.000
83005.462,300.012,350.405,223.773,-0.017,2.967,5.000
83013.525,300.014,350.168,223.612,-0.001,2.999,5.000
83009.494,300.011,350.247,223.612,-0.017,2.988,5.000
83009.494,300.011,350.247,223.612,-0.017,3.010,5.000
83009.494,300.014,350.168,223.933,-0.017,2.999,5.000
83001.431,300.014,350.247,223.612,0.016,2.978,5.000
83009.494,300.012,350.247,223.612,0.016,2.999,5.000
83005.462,300.012,350.168,223.612,-0.001,2.988,5.000
83005.462,300.011,350.168,223.612,-0.001,2.999,5.000
83005.462,300.017,350.010,223.452,-0.033,2.988,5.000
83005.462,300.012,350.405,223.452,0.016,2.999,5.000
83005.462,300.017,350.168,223.292,-0.017,2.978,5.000
83005.462,300.016,350.089,223.292,-0.001,2.988,5.000
83001.431,300.016,350.168,223.452,-0.001,2.988,5.000
83005.462,300.016,350.168,223.292,0.016,2.999,5.000
83001.431,300.017,350.247,223.132,-0.001,2.988,5.000
83005.462,300.017,350.326,222.972,-0.033,2.999,5.000
83001.431,300.017,350.168,222.812,0.016,2.999,5.000
82997.399,300.019,350.168,222.652,0.016,2.988,5.000
83001.431,300.017,350.326,222.172,0.032,2.999,5.000
82997.399,300.017,350.405,222.172,0.016,2.988,5.000
82993.368,300.017,350.326,222.172,0.016,2.988,5.000
82993.368,300.016,350.405,222.172,-0.033,2.999,5.000
83001.431,300.016,350.326,221.851,-0.001,2.988,5.000
82997.399,300.016,350.405,221.851,-0.017,2.988,5.000
82997.399,300.017,350.405,221.531,0.016,2.978,5.000
82989.337,300.017,350.484,221.691,0.032,2.999,5.000
83005.462,300.019,350.484,221.371,-0.001,2.988,5.000
83001.431,300.017,350.405,221.691,0.016,2.988,5.000
82993.368,300.017,350.484,221.371,0.016,2.978,5.000
82993.368,300.020,350.326,221.371,-0.001,2.988,5.000
82989.337,300.017,350.484,221.531,-0.017,2.978,5.000
82993.368,300.016,350.563,221.211,-0.017,2.988,5.000
83005.462,300.017,350.563,221.371,-0.001,2.999,5.000
82997.399,300.019,350.405,221.371,-0.017,2.967,5.000
82997.399,300.019,350.405,221.371,0.016,2.988,5.000
83001.431,300.019,350.484,221.211,0.016,2.978,5.000
83005.462,300.019,350.563,221.691,-0.001,2.999,5.000
82997.399,300.019,350.563,221.211,-0.001,3.010,5.000
82993.368,300.014,350.405,221.371,-0.001,2.999,5.000
82997.399,300.016,350.484,221.371,0.016,2.978,5.000
82997.399,300.016,350.563,221.211,-0.017,2.978,5.000
83005.462,300.017,350.563,221.531,-0.001,2.988,5.000
83009.494,300.019,350.405,221.211,-0.017,2.988,5.000
83009.494,300.016,350.484,221.211,-0.017,2.988,5.000
83013.525,300.016,350.405,221.371,0.016,2.999,5.000
83009.494,300.012,350.484,221.371,-0.017,3.010,5.000
83009.494,300.017,350.405,221.051,-0.001,2.978,5.000
83009.494,300.017,350.326,221.211,-0.017,2.999,5.000
83013.525,300.016,350.326,221.051,0.016,2.978,5.000
83009.494,300.016,350.168,221.211,0.016,2.978,5.000
83009.494,300.016,350.405,220.891,0.016,2.978,5.000
83013.525,300.016,350.326,220.731,-0.001,2.999,5.000
83013.525,300.016,350.168,220.891,-0.017,2.978,5.000
83009.494,300.014,350.247,220.731,0.016,3.010,5.000
83013.525,300.017,350.168,220.731,-0.017,2.988,5.000
83009.494,300.017,350.089,220.571,-0.001,2.999,5.000
83013.525,300.016,350.089,220.731,-0.001,2.999,5.000
83009.494,300.019,350.010,220.571,0.016,2.978,5.000
83009.494,300.017,350.089,220.251,-0.017,2.999,5.000
83013.525,300.019,350.010,220.411,-0.017,3.010,5.000
83009.494,300.017,350.010,220.411,-0.001,2.978,5.000
83005.462,300.019,349.930,220.411,-0.001,2.988,5.000
83017.556,300.017,350.010,220.090,-0.017,2.978,5.000
83005.462,300.017,349.930,220.090,0.016,2.999,5.000
83009.494,300.017,350.010,220.090,0.016,2.999,5.000
83005.462,300.020,350.010,220.251,0.016,2.999,5.000
83001.431,300.019,350.089,220.090,-0.017,3.010,5.000
83013.525,300.019,349.851,220.251,-0.001,2.999,5.000
82997.399,300.017,349.851,219.930,-0.017,2.988,5.000
83005.462,300.017,350.010,220.090,0.016,2.978,5.000
83001.431,300.019,349.930,220.251,0.016,2.999,5.000
82997.399,300.019,350.089,220.090,-0.017,2.978,5.000
83001.431,300.017,350.089,219.930,0.032,2.999,5.000
83001.431,300.019,350.010,220.411,-0.001,2.999,5.000
83001.431,300.017,350.168,220.090,-0.001,2.999,5.000
83005.462,300.022,350.089,220.411,-0.017,2.988,5.000
82997.399,300.017,350.168,220.731,0.016,3.010,5.000
83005.462,300.020,350.168,220.411,-0.017,2.988,5.000
83005.462,300.024,350.168,220.731,-0.001,2.999,5.000
82997.399,300.017,350.168,220.891,-0.001,2.988,5.000
83005.462,300.022,350.247,220.891,-0.001,2.999,5.000
83001.431,300.019,350.405,221.051,-0.001,2.988,5.000
83005.462,300.017,350.247,221.371,-0.001,2.988,5.000
83001.431,300.019,350.326,221.211,-0.033,2.988,5.000
83005.462,300.019,350.168,221.851,0.016,2.999,5.000
83001.431,300.017,350.326,221.851,-0.017,2.988,5.000
82997.399,300.019,350.405,221.691,-0.001,2.988,5.000
83001.431,300.017,350.405,222.012,-0.017,2.978,5.000
83001.431,300.020,350.405,222.172,-0.001,2.988,5.000
83001.431,300.016,350.484,222.652,-0.001,2.999,5.000
83009.494,300.017,350.326,222.332,0.016,2.988,5.000
83005.462,300.017,350.405,222.652,-0.001,2.988,5.000
83005.462,300.016,350.405,222.812,0.016,2.999,5.000
83001.431,300.017,350.326,223.132,-0.001,2.978,5.000
83009.494,300.020,350.326,223.132,-0.001,2.999,5.000
83005.462,300.019,350.326,222.972,-0.017,2.988,5.000
83005.462,300.017,350.405,223.452,-0.001,2.988,5.000
83005.462,300.014,350.484,223.132,-0.001,2.978,5.000
83009.494,300.019,350.326,223.292,-0.001,3.010,5.000
83013.525,300.017,350.405,223.773,-0.017,2.978,5.000
83009.494,300.017,350.484,223.452,-0.001,2.967,5.000
83005.462,300.019,350.484,223.612,-0.017,2.999,5.000
